code,rawCode,nameOfficial,nameShort,type,status,systems,codeEvidence,aliases,sourceIds,lastVerifiedAt
00001,0001,T.C. MERKEZ BANKASI,T.C. MERKEZ BANKASI,central_bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00004,0004,İLLER BANKASI A.Ş.,İLLER BANKASI,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00010,0010,T.C. ZİRAAT BANKASI A.Ş.,T.C. ZİRAAT BANKASI,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00012,0012,T. HALK BANKASI A.Ş.,T. HALK BANKASI,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00014,0014,T. SINAİ KALKINMA BANKASI A.Ş.,T. SINAİ KALKINMA BANKASI,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00015,0015,T. VAKIFLAR BANKASI T.A.O.,T. VAKIFLAR BANKASI,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00016,0016,T. EXİMBANK,T. EXİMBANK,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00017,0017,T. KALKINMA BANKASI A.Ş.,T. KALKINMA BANKASI,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00029,0029,BİRLEŞİK FON BANKASI A.Ş.,BİRLEŞİK FON BANKASI,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00032,0032,T. EKONOMİ BANKASI A.Ş.,T. EKONOMİ BANKASI,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00046,0046,AKBANK T.A.Ş.,AKBANK,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00059,0059,ŞEKERBANK T.A.Ş.,ŞEKERBANK,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00060,0060,TÜRK TİCARET BANKASI A.Ş.,TÜRK TİCARET BANKASI,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00062,0062,T. GARANTİ BANKASI A.Ş.,T. GARANTİ BANKASI,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00064,0064,T. İŞ BANKASI A.Ş.,T. İŞ BANKASI,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00067,0067,YAPI VE KREDİ BANKASI A.Ş.,YAPI VE KREDİ BANKASI,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00091,0091,ARAP TÜRK BANKASI,ARAP TÜRK BANKASI,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00092,0092,CITIBANK A.Ş.,CITIBANK,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00096,0096,TURKISH BANK A.Ş.,TURKISH BANK,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
00098,0098,JPMORGAN CHASE BANK N.A.,JPMORGAN CHASE BANK,bank,unknown,TCMB_PAYMENT_SYSTEMS,payment_system_participant,,tcmb-payment-systems-participants-2025,2026-07-31
